"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-01","0.08","89",
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-02",,"91","68"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-03",,"91","70"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-04",,"90","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-05",,"89","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-06",,"90","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-07",,"90","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-08",,"90","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-09",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-10",,"90","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-11",,"91",
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-12",,"91",
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-13",,"91","69"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-14",,"91","71"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-15",,"91","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-16",,"90","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-17",,"90",
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-18",,"91","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-19",,"91","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-20",,"91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-21",,"91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-22","0.08","91",
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-23","0.00","91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-24",,"91","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-25",,"91","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-26",,"91",
"IN010100400","THIRUVANANTHAPURAM, IN","2015-01-27",,"91","74"
